Uniprot_ID	KEGG_Gene_ID
O70582	mmu:11686
O70583	mmu:17318
O70584	mmu:18094
O70585	mmu:13528
O70589	mmu:12361
O70622	mmu:20167
O70624	mmu:17926
O70628	mmu:18585
O88174	mmu:17221
O88188	mmu:17084
O88196	NA
O88199	mmu:53374
O88207	mmu:12831
O88271	mmu:23837
O88273	mmu:23893
O88282	mmu:12029
O88286	mmu:22404
O88291	mmu:54367
O88307	mmu:20660
O88310	mmu:16429
O88312	mmu:23795
O88319	mmu:18216
O88322	mmu:18074
O88324	mmu:12522
O88325	NA
O88329	mmu:432516
O88335	mmu:56379
O88342	mmu:22388
O88343	mmu:54403
O88351	mmu:16150
O88379	NA
O88384	NA
O88393	mmu:21814
O88398	mmu:11567
O88410	mmu:12766
O88413	mmu:22158
O88427	NA
O88428	mmu:23972
O88444	mmu:432530
O88445	mmu:20871
O88447	NA
O88448	NA
O88452	mmu:20856
O88454	mmu:16528
O88455	mmu:13360
O88466	NA
